Economy_Label,Feb. 2006_Index_Average_M2_2023__100_Value,May  2006_Index_Average_M2_2023__100_Value,Aug. 2006_Index_Average_M2_2023__100_Value,Nov. 2006_Index_Average_M2_2023__100_Value,Feb. 2007_Index_Average_M2_2023__100_Value,May  2007_Index_Average_M2_2023__100_Value,Aug. 2007_Index_Average_M2_2023__100_Value,Nov. 2007_Index_Average_M2_2023__100_Value,Feb. 2008_Index_Average_M2_2023__100_Value,May  2008_Index_Average_M2_2023__100_Value,Aug. 2008_Index_Average_M2_2023__100_Value,Nov. 2008_Index_Average_M2_2023__100_Value,Feb. 2009_Index_Average_M2_2023__100_Value,May  2009_Index_Average_M2_2023__100_Value,Aug. 2009_Index_Average_M2_2023__100_Value,Nov. 2009_Index_Average_M2_2023__100_Value,Feb. 2010_Index_Average_M2_2023__100_Value,May  2010_Index_Average_M2_2023__100_Value,Aug. 2010_Index_Average_M2_2023__100_Value,Nov. 2010_Index_Average_M2_2023__100_Value,Feb. 2011_Index_Average_M2_2023__100_Value,May  2011_Index_Average_M2_2023__100_Value,Aug. 2011_Index_Average_M2_2023__100_Value,Nov. 2011_Index_Average_M2_2023__100_Value,Feb. 2012_Index_Average_M2_2023__100_Value,May  2012_Index_Average_M2_2023__100_Value,Aug. 2012_Index_Average_M2_2023__100_Value,Nov. 2012_Index_Average_M2_2023__100_Value,Feb. 2013_Index_Average_M2_2023__100_Value,May  2013_Index_Average_M2_2023__100_Value,Aug. 2013_Index_Average_M2_2023__100_Value,Nov. 2013_Index_Average_M2_2023__100_Value,Feb. 2014_Index_Average_M2_2023__100_Value,May  2014_Index_Average_M2_2023__100_Value,Aug. 2014_Index_Average_M2_2023__100_Value,Nov. 2014_Index_Average_M2_2023__100_Value,Feb. 2015_Index_Average_M2_2023__100_Value,May  2015_Index_Average_M2_2023__100_Value,Aug. 2015_Index_Average_M2_2023__100_Value,Nov. 2015_Index_Average_M2_2023__100_Value,Feb. 2016_Index_Average_M2_2023__100_Value,May  2016_Index_Average_M2_2023__100_Value,Aug. 2016_Index_Average_M2_2023__100_Value,Nov. 2016_Index_Average_M2_2023__100_Value,Feb. 2017_Index_Average_M2_2023__100_Value,May  2017_Index_Average_M2_2023__100_Value,Aug. 2017_Index_Average_M2_2023__100_Value,Nov. 2017_Index_Average_M2_2023__100_Value,Feb. 2018_Index_Average_M2_2023__100_Value,May  2018_Index_Average_M2_2023__100_Value,Aug. 2018_Index_Average_M2_2023__100_Value,Nov. 2018_Index_Average_M2_2023__100_Value,Feb. 2019_Index_Average_M2_2023__100_Value,May  2019_Index_Average_M2_2023__100_Value,Aug. 2019_Index_Average_M2_2023__100_Value,Nov. 2019_Index_Average_M2_2023__100_Value,Feb. 2020_Index_Average_M2_2023__100_Value,May  2020_Index_Average_M2_2023__100_Value,Aug. 2020_Index_Average_M2_2023__100_Value,Nov. 2020_Index_Average_M2_2023__100_Value,Feb. 2021_Index_Average_M2_2023__100_Value,May  2021_Index_Average_M2_2023__100_Value,Aug. 2021_Index_Average_M2_2023__100_Value,Nov. 2021_Index_Average_M2_2023__100_Value,Feb. 2022_Index_Average_M2_2023__100_Value,May  2022_Index_Average_M2_2023__100_Value,Aug. 2022_Index_Average_M2_2023__100_Value,Nov. 2022_Index_Average_M2_2023__100_Value,Jan. 2023_Index_Average_M2_2023__100_Value,Feb. 2023_Index_Average_M2_2023__100_Value,Mar. 2023_Index_Average_M2_2023__100_Value,Apr. 2023_Index_Average_M2_2023__100_Value,May  2023_Index_Average_M2_2023__100_Value,June 2023_Index_Average_M2_2023__100_Value,Jul. 2023_Index_Average_M2_2023__100_Value,Aug. 2023_Index_Average_M2_2023__100_Value,Sep. 2023_Index_Average_M2_2023__100_Value,Oct. 2023_Index_Average_M2_2023__100_Value,Nov. 2023_Index_Average_M2_2023__100_Value,Dec. 2023_Index_Average_M2_2023__100_Value,Jan. 2024_Index_Average_M2_2023__100_Value,Feb. 2024_Index_Average_M2_2023__100_Value,Mar. 2024_Index_Average_M2_2023__100_Value,Apr. 2024_Index_Average_M2_2023__100_Value,May  2024_Index_Average_M2_2023__100_Value,June 2024_Index_Average_M2_2023__100_Value,Jul. 2024_Index_Average_M2_2023__100_Value,Aug. 2024_Index_Average_M2_2023__100_Value,Sep. 2024_Index_Average_M2_2023__100_Value,Oct. 2024_Index_Average_M2_2023__100_Value,Nov. 2024_Index_Average_M2_2023__100_Value,Dec. 2024_Index_Average_M2_2023__100_Value,Jan. 2025_Index_Average_M2_2023__100_Value,Feb. 2025_Index_Average_M2_2023__100_Value,Mar. 2025_Index_Average_M2_2023__100_Value,Apr. 2025_Index_Average_M2_2023__100_Value,May  2025_Index_Average_M2_2023__100_Value,June 2025_Index_Average_M2_2023__100_Value,Jul. 2025_Index_Average_M2_2023__100_Value,Aug. 2025_Index_Average_M2_2023__100_Value,Sep. 2025_Index_Average_M2_2023__100_Value,Oct. 2025_Index_Average_M2_2023__100_Value,Nov. 2025_Index_Average_M2_2023__100_Value,Dec. 2025_Index_Average_M2_2023__100_Value,Jan. 2026_Index_Average_M2_2023__100_Value,Feb. 2026_Index_Average_M2_2023__100_Value,Mar. 2026_Index_Average_M2_2023__100_Value
"Albania",,,,5.01,5.48,5.48,5.04,5.19,6.23,6.28,11.35,12.93,12.78,12.12,13.13,10.31,14.98,10.21,10.21,10.21,10.21,14.42,12.91,12.31,12.31,16.54,16.94,12.7,15.57,16.05,17.86,14.03,17.41,12.74,16.04,16.35,16.08,16.76,16.73,16.72,17.09,13.58,17.53,17.86,18.77,16.57,14.98,14.31,14.29,8.49,14.51,15.02,15.11,14.47,19.52,19.52,18.37,18.36,14.34,14.34,14.58,14.58,15.03,15.02,13.67,12.76,12.75,11.97,11.97,11.97,11.98,11.98,11.98,11.98,11.98,11.98,11.98,13.24,13.24,13.24,13.24,12.4,12.39,12.39,12.39,12.39,12.39,15.59,12.39,12.39,12.39,12.39,14.22,14.22,14.22,14.22,14.2,14.2,14.2,14.2,14.2,17.78,12.21,12.21,12.21,12.21,12.21
"Algeria",59.7,61.43,61.83,63.24,52.51,55.39,56.76,56.46,57.62,61.6,63.8,63.87,64.45,64.27,59.47,59.23,62.08,63.85,65.4,64.79,60.95,62.96,57.93,58.76,53.37,54.26,55.66,55.11,53.61,56.45,60.93,54.81,59.01,62.45,66.54,66.1,74.96,73.05,70.5,74.17,77.16,77.67,76.19,76.76,73.04,68.13,68.57,71.27,71.06,72.26,72.61,69.93,64.58,67.78,72.21,73.24,69.43,68.65,71.43,68.06,67.37,64.49,64.03,62.91,61.06,55.7,61.29,61.35,64.46,62.2,60.38,60.42,64.67,63.65,61.04,67.28,69,69.5,68.65,69.33,69.34,70.43,72.97,75.46,71.01,70.92,72.94,72.94,72.94,66.18,67.86,69.81,69.43,68.36,69.39,71.05,69.08,70.94,69.19,71,70.99,71.25,70.9,71.69,70.52,74.7,74.5
"American Samoa",31.73,31.72,41.08,38.53,37.86,37.86,38.55,33.63,33.63,34.51,31.38,30.77,30.02,30.02,22.85,22.85,22.85,20.77,20.07,20.07,19.98,21.97,19.54,19.54,19.54,20.1,20.1,19.42,19.42,19.42,23.73,23.73,21.85,20.81,20.81,23.94,23.94,23.94,23.93,24.71,25.4,22.9,25.3,25.32,25.4,25.4,25.6,25.6,25.86,25.84,25.81,25.73,25.73,25.74,25.74,27.09,28.66,28.66,28.66,28.38,28.39,28.39,28.31,28.23,28.24,28.24,28.24,28.24,29.75,29.75,29.75,29.75,28.23,29.09,29.04,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.98,27.98,27.98,26.18,26.18,26.18,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33
"Angola",61.54,63.25,65.2,63.83,60.48,63.17,62.73,66.55,67.7,69.63,62.55,67.16,73.41,73.35,79.06,79.09,74.6,73.06,75.76,73.61,73.44,73.41,69.73,69.39,67.36,72.3,76.91,79.83,80.11,79.67,81.08,79.61,84.86,82.65,79.53,77.2,75.67,73.97,74.48,74.26,82.42,78.98,77.67,76.18,76.41,69.74,68.86,70.48,69.47,70.42,66.86,62.72,61.76,69.74,69.43,73.73,69.35,64.62,67.18,56.75,56.76,55.99,56.13,55.51,54.82,54.76,55.97,56.36,56.37,56.42,56.43,56.47,56.45,56.39,56.39,56.41,56.42,56.45,56.42,56.42,56.41,55.87,55.49,58.04,60.2,60.2,59.98,61.35,59.7,61.49,62.33,62.4,66.44,66.31,66.37,66.38,66.33,66.32,64.02,64.02,66.51,66.55,66.78,66.76,66.02,66.05,66.03
"Anguilla",7.73,6.9,,,,9.66,9.66,,,,,,,,,,,,,7.98,,,,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,15.92,18.31,18.31,18.27,18.31,18.31,18.31,18.3,18.3,18.3,18.3,18.3,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",22.93,24.65,24.66,24.66,24.66,24.66,27.58,26.12,27.17,25.14,25.14,25.14,25.14,25.25,25.25,25.25,25.14,25.14,25.14,22.31,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,23.95,23.95,25.82,25.82,26.03,26.03,26.03,23.67,24.26,24.28,20.7,20.11,20.11,14.54,14.54,14.54,15.53,15.53,19.03,19.03,19.03,15.53,15.53,15.53,14.85,19.04,19.1,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.45,19.12,26.07,26.08,26.07,26.07,26.1,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.14,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,21.87,25.48,25.48
"Argentina",116.64,114.39,111.68,109.27,105.99,107.57,106.61,106.94,111.32,114.8,117.08,117.35,114.64,107.57,107.6,107.56,110.42,113.34,112.44,113.94,112.3,113.3,104,106.94,103.87,103.39,108.61,113.18,112.64,118,112.36,110.67,113.13,119.33,115.86,113.14,112.55,111.77,101.48,97.57,101.04,107.07,107.05,104.21,101.87,105,105,105.04,105.25,104.15,109.05,105.16,99.67,101.44,101.48,103.29,96.12,101.13,97.03,97.09,96.61,99.43,97.84,96.6,101.62,100.34,99.01,98.99,99.83,97.21,98.53,99.7,99.71,103.09,103.12,101.14,101.19,100.92,101,101.02,103.08,103.45,105.96,106.1,104.98,101.74,101.78,99.36,99.3,99.35,99.41,99.46,100.11,105.21,107.18,107.16,108.21,108.35,108.4,111.19,111.11,110.53,110.13,110.22,110.91,110.99,110.88
"Aruba",27.6,30.64,23.22,23.23,25.27,24.79,26.97,26.98,27.36,27.36,25.79,24.71,24.71,26.9,28,28,29.44,33.77,34.45,34.47,38.93,38.24,37.09,29.53,32.07,33.07,34.2,30.33,32,30.84,30.85,30.86,28.6,29.22,29.22,30.3,29.63,29.64,27.68,28.33,32.41,33.58,27.89,24.76,23.63,23.63,24.31,30.65,30.66,32.55,33.3,32.62,32.92,30.71,30.16,26.1,28.98,28.97,28.84,31.5,31.5,31.11,26.54,22.41,21.76,21.76,21.42,19.47,20.93,18.77,18.77,18.77,18.77,17.59,17.6,17.6,17.6,17.6,18.37,18.37,20.18,14.93,17.17,17.17,22.72,22.72,22.71,22.71,22.71,22.72,22.72,18.38,18.39,18.39,18.39,18.39,18.4,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98
"Australia",139.19,141.65,142,140.77,141.92,146.75,146.7,147.48,152.36,157.76,161.46,156,151.48,150.21,143.99,146.99,145.51,148.77,154.83,160.15,157.96,156.65,157.76,150.75,147.94,145.85,145.08,149.16,152.48,146.55,152.02,154.94,156.48,159.43,158.4,162.02,159.19,153.81,154.8,155.92,157.43,154.7,156.62,157.56,148.41,142.96,147.4,145.21,142.54,146.37,145.81,145.08,146.34,150.45,144.5,141.17,138.6,137.95,140.08,145.11,148.55,147.54,145.15,145.81,148.35,150.46,148.54,150.88,149.25,148.59,145.69,151.53,152.13,152.49,152.33,153.66,153.18,150.63,144.99,145.12,144.42,144.15,143.86,144.99,144.23,141.27,141.21,139.32,138.29,140.61,141.69,141.84,142.97,142.93,142.27,142.3,142.42,140.29,139.82,141.28,141.21,142.01,143.04,142.45,142.48,144.68,144
"Bahamas",58.07,53.48,53.32,53.38,54.29,57.71,57.56,61.8,59,56.56,59.07,59.22,58.17,59.76,60.4,63.64,70.58,71.3,70.84,69.25,69.89,70.07,63.42,67.64,66.57,63.7,65.7,68.38,68.44,69.11,65.24,65.3,64.98,66.01,71.03,71.76,73.01,67.96,68.06,72.17,74.59,75.54,79.58,80.54,75.14,79.27,75.82,75.8,72.57,72.68,70.27,70.54,73.19,79.11,85.17,81.99,84.83,73.96,76.84,83.51,87.9,93.12,92.87,81.33,79.9,77.33,82.49,78.87,77.01,80.18,80.14,79.03,78.95,83.69,82.34,82.36,82.1,79.02,81.67,81.75,80.45,86.14,85.25,86.54,85.19,89.9,81.86,81.85,87.81,87.55,87.17,86.94,71.08,69.66,70.37,70.44,69.88,67.81,68.84,68.89,84.13,83.68,83.66,91.96,94.18,102.02,102.06
